EventType,Attack,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10
HUANG_PCN,false,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0,448623,296680,0.0
HUANG_PCN,false,548726,273149,0.0,548726,273149,0.0,548726,273149,0.0,548726,273149,0.0,548726,273149,0.0,548726,273149,0.0,548729,273156,60.0,548738,273179,132.0,548754,273217,204.0,548778,273271,276.0
HUANG_PCN,false,548915,273596,0.0,548915,273596,0.0,548915,273596,0.0,548915,273596,0.0,548915,273596,12.0,548920,273608,84.0,548932,273636,156.0,548950,273680,228.0,548976,273739,300.0,549008,273815,372.0
HUANG_PCN,false,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0,367349,241615,0.0
HUANG_PCN,false,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0,440930,418504,0.0
HUANG_PCN,false,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0,111127,320774,0.0
HUANG_PCN,false,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0,445742,413836,0.0
HUANG_PCN,false,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0,496932,432886,0.0
HUANG_PCN,false,112058,392908,0.0,112058,392908,0.0,112058,392908,0.0,112058,392908,0.0,112058,392908,0.0,112058,392908,0.0,112058,392908,0.0,112060,392906,36.0,112073,392894,108.0,112100,392869,180.0
HUANG_PCN,false,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0,251316,470750,0.0
HUANG_PCN,false,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0,238572,458259,0.0
HUANG_PCN,false,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0,396578,55758,0.0
HUANG_PCN,false,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0,105253,16724,0.0
